player_name,total_runs,balls_faced,dismissals,strike_rate,total_wickets,runs_conceded,balls_bowled,overs_bowled,economy_rate,player_ID
GD Phillips,26.0,33.0,2.0,78.78787878787878,1.0,20.0,13.0,2.1666666666666665,9.230769230769232,Player_192
GH Vihari,284.0,331.0,20.0,85.80060422960725,1.0,48.0,43.0,7.166666666666667,6.697674418604651,Player_193
GHS Garton,2.0,4.0,1.0,50.0,3.0,136.0,97.0,16.166666666666668,8.412371134020617,Player_194
GJ Bailey,663.0,552.0,29.0,120.1086956521739,0.0,0.0,0.0,0.0,0.0,Player_195
GJ Maxwell,2320.0,1571.0,90.0,147.67663908338636,31.0,1087.0,803.0,133.83333333333334,8.122042341220423,Player_196
GR Napier,15.0,16.0,1.0,93.75,1.0,28.0,24.0,4.0,7.0,Player_197
GS Sandhu,0.0,0.0,0.0,0.0,1.0,86.0,48.0,8.0,10.75,Player_198
Gagandeep Singh,0.0,0.0,0.0,0.0,3.0,142.0,84.0,14.0,10.142857142857142,Player_199
Gurkeerat Singh,511.0,436.0,27.0,117.20183486238533,5.0,97.0,82.0,13.666666666666666,7.097560975609756,Player_200
H Das,2.0,5.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,Player_201
H Klaasen,66.0,58.0,5.0,113.79310344827589,0.0,0.0,0.0,0.0,0.0,Player_202
HE van der Dussen,22.0,25.0,2.0,88.0,0.0,0.0,0.0,0.0,0.0,Player_203
HF Gurney,1.0,5.0,0.0,20.0,7.0,239.0,169.0,28.166666666666668,8.485207100591715,Player_204
HH Gibbs,886.0,837.0,32.0,105.8542413381123,0.0,0.0,0.0,0.0,0.0,Player_205
HH Pandya,1972.0,1406.0,66.0,140.2560455192034,53.0,1566.0,1103.0,183.83333333333331,8.518585675430643,Player_206
HM Amla,577.0,418.0,13.0,138.03827751196172,0.0,0.0,0.0,0.0,0.0,Player_207
HR Shokeen,43.0,48.0,2.0,89.58333333333334,2.0,130.0,94.0,15.666666666666666,8.297872340425533,Player_208
HV Patel,230.0,189.0,21.0,121.6931216931217,106.0,2262.0,1665.0,277.5,8.151351351351352,Player_209
Harbhajan Singh,833.0,636.0,56.0,130.9748427672956,161.0,4101.0,3496.0,582.6666666666666,7.0383295194508015,Player_210
Harmeet Singh,18.0,12.0,2.0,150.0,31.0,747.0,574.0,95.66666666666669,7.808362369337979,Player_211
Harpreet Brar,106.0,100.0,3.0,106.0,9.0,379.0,296.0,49.333333333333336,7.682432432432432,Player_212
Harpreet Singh,20.0,26.0,2.0,76.92307692307693,0.0,0.0,0.0,0.0,0.0,Player_213
Harshit Rana,2.0,2.0,1.0,100.0,1.0,52.0,31.0,5.166666666666667,10.064516129032258,Player_214
I Malhotra,7.0,4.0,0.0,175.0,0.0,23.0,6.0,1.0,23.0,Player_215
I Sharma,55.0,62.0,7.0,88.70967741935483,74.0,2779.0,2090.0,348.3333333333333,7.97799043062201,Player_216
I Udana,15.0,11.0,3.0,136.36363636363637,8.0,286.0,182.0,30.33333333333333,9.428571428571429,Player_217
IC Pandey,0.0,2.0,1.0,0.0,19.0,609.0,469.0,78.16666666666667,7.791044776119403,Player_218
IC Porel,0.0,0.0,0.0,0.0,1.0,42.0,26.0,4.333333333333333,9.692307692307692,Player_219
IK Pathan,1150.0,985.0,53.0,116.751269035533,99.0,2711.0,2113.0,352.1666666666667,7.698059630856601,Player_220
IR Jaggi,76.0,100.0,5.0,76.0,0.0,0.0,0.0,0.0,0.0,Player_221
IS Sodhi,7.0,18.0,2.0,38.88888888888889,9.0,204.0,182.0,30.33333333333333,6.725274725274725,Player_222
Imran Tahir,33.0,37.0,4.0,89.1891891891892,86.0,1729.0,1340.0,223.33333333333331,7.741791044776119,Player_223
Iqbal Abdulla,88.0,86.0,1.0,102.32558139534883,45.0,1125.0,943.0,157.16666666666666,7.158006362672323,Player_224
Ishan Kishan,1870.0,1444.0,62.0,129.50138504155123,0.0,0.0,0.0,0.0,0.0,Player_225
J Arunkumar,23.0,24.0,3.0,95.83333333333334,0.0,0.0,0.0,0.0,0.0,Player_226
J Botha,409.0,364.0,22.0,112.36263736263736,27.0,818.0,709.0,118.16666666666669,6.922425952045134,Player_227
J Suchith,70.0,62.0,4.0,112.90322580645164,20.0,604.0,434.0,72.33333333333333,8.350230414746544,Player_228
J Syed Mohammad,29.0,27.0,2.0,107.40740740740742,10.0,286.0,196.0,32.666666666666664,8.755102040816327,Player_229
J Theron,10.0,13.0,2.0,76.92307692307693,13.0,311.0,235.0,39.16666666666666,7.940425531914894,Player_230
J Yadav,40.0,38.0,2.0,105.26315789473684,9.0,421.0,374.0,62.333333333333336,6.754010695187166,Player_231
JA Morkel,975.0,712.0,40.0,136.938202247191,96.0,2409.0,1807.0,301.1666666666667,7.998893193137797,Player_232
JA Richardson,15.0,25.0,2.0,60.0,3.0,122.0,69.0,11.5,10.608695652173912,Player_233
JC Archer,195.0,128.0,13.0,152.34375,47.0,1008.0,858.0,143.0,7.048951048951049,Player_234
JC Buttler,2832.0,1955.0,71.0,144.85933503836316,0.0,0.0,0.0,0.0,0.0,Player_235
JD Ryder,604.0,466.0,29.0,129.6137339055794,11.0,314.0,241.0,40.16666666666666,7.817427385892117,Player_236
JD Unadkat,164.0,136.0,11.0,120.58823529411764,99.0,2806.0,1942.0,323.6666666666667,8.66941297631308,Player_237
JDP Oram,106.0,110.0,8.0,96.36363636363636,13.0,362.0,244.0,40.66666666666666,8.901639344262296,Player_238
JDS Neesham,92.0,93.0,8.0,98.9247311827957,8.0,342.0,222.0,37.0,9.243243243243244,Player_239
JE Taylor,3.0,4.0,0.0,75.0,6.0,167.0,122.0,20.33333333333333,8.213114754098362,Player_240
JEC Franklin,327.0,309.0,11.0,105.8252427184466,9.0,225.0,155.0,25.83333333333333,8.70967741935484,Player_241
JH Kallis,2427.0,2291.0,89.0,105.93627237014404,74.0,2348.0,1799.0,299.8333333333333,7.831017231795442,Player_242
